Date,Close_AMZN,Close_GOOGL,Close_META,Close_MSFT,Close_NVDA,High_AMZN,High_GOOGL,High_META,High_MSFT,High_NVDA,Low_AMZN,Low_GOOGL,Low_META,Low_MSFT,Low_NVDA,Open_AMZN,Open_GOOGL,Open_META,Open_MSFT,Open_NVDA,Volume_AMZN,Volume_GOOGL,Volume_META,Volume_MSFT,Volume_NVDA
2024-10-11,188.82,163.053,589.95,415.488,134.791,189.9284,163.712,591.21,416.297,135.771,186.3,161.05,582.71,412.424,133.651,186.63,161.944,584.83,415.304,134.001,25751557.0,15361836.0,8587051.0,14173257.084294,170221202.0
2024-10-10,186.65,161.894,583.83,415.009,134.801,188.134,162.883,590.23,416.516,134.991,185.83,160.211,582.52,412.325,130.991,187.13,160.686,587.57,414.396,131.901,27785043.0,14160278.0,7740449.0,13876095.461952,242328033.0
2024-10-09,185.17,161.675,590.51,416.626,132.641,185.845,164.651,594.39,419.54,134.511,182.05,159.557,581.61,413.472,131.371,182.82,163.263,593.99,415.029,134.101,26343117.0,31217510.0,9529707.0,15004230.070284,246208575.0
2024-10-08,182.72,164.192,592.89,413.882,132.881,183.09,164.536,593.56,414.83,133.471,180.92,162.684,585.97,407.355,129.411,181.915,163.752,589.69,410.079,130.251,26372086.0,23099175.0,7857377.0,19267751.056065,285742172.0
2024-10-07,180.8,162.793,584.78,408.722,127.711,183.6,168.287,602.95,416.277,130.631,180.25,162.564,584.04,408.183,124.941,182.95,167.528,598.22,415.169,124.981,42364201.0,22488884.0,12014198.0,20961634.828316,346274090.0
2024-10-04,186.51,166.869,595.94,415.229,124.911,187.6,168.037,596.85,418.911,125.031,183.6,165.291,581.43,414.141,121.822,185.75,167.868,583.73,417.405,124.931,41079011.0,19115606.0,14199788.0,19229326.297178,244482396.0
2024-10-03,181.96,165.67,582.77,415.708,122.842,183.44,166.449,583.36,418.712,124.351,180.875,163.735,568.73,413.462,120.332,183.045,164.222,570.15,416.796,120.912,30204302.0,15090375.0,11580980.0,13713816.286362,277137067.0
2024-10-02,184.76,165.67,572.81,416.297,118.842,186.6,167.328,576.0,421.975,119.372,184.04,164.541,569.34,415.878,115.132,184.44,166.229,574.86,421.736,116.432,23704056.0,17780533.0,6524650.0,16615448.707243,221861173.0
2024-10-01,185.13,166.799,576.47,419.85,116.992,186.19,168.966,583.04,427.624,122.427,183.4519,164.392,570.1,417.973,115.782,184.9,167.493,577.98,427.594,121.757,36044906.0,28370600.0,15259274.0,19131162.200521,302115300.0
2024-09-30,186.33,165.66,572.44,429.44,121.432,188.49,165.96,574.68,429.56,121.492,184.65,163.073,564.8,424.52,118.142,187.14,163.133,567.7,427.355,118.302,41680400.0,20504775.0,12807206.0,16888342.851868,227069295.0
